                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9489,                 5.6159,                 2.2198,                 0.1969,                0.20408,                0.13564,                0.09222,                 0.9139,                  3.431,                 2.0288,               0.070044,              0.0033284,              0.0033284
                      2,                0.91839,                 4.0793,                 2.1614,                0.29057,                0.20466,                0.11778,                0.07297,                 1.0476,                 3.9973,                 2.3705,               0.040004,              0.0066213,              0.0066213
                      3,                 1.0357,                 4.4928,                 2.3395,                0.27481,                0.11744,                0.08397,                0.04644,                 1.2246,                 4.5997,                 2.6608,              0.0099227,              0.0098737,              0.0098737
                      4,                 1.1383,                 4.9697,                 2.5175,                0.46676,                0.11618,                0.09023,                0.05155,                 1.1846,                 4.3395,                 2.6015,              0.0098178,              0.0098178,              0.0098178
                      5,                 1.1266,                 4.8581,                 2.5272,                0.41076,                0.13664,                 0.0893,                0.05189,                  1.129,                 4.3072,                 2.5261,              0.0097571,              0.0097571,              0.0097571
                      6,                 1.1166,                 4.7332,                 2.5048,                0.31304,                0.12482,                0.09744,                0.05634,                 1.1459,                 4.2416,                 2.5586,              0.0096963,              0.0096963,              0.0096963
                      7,                 1.1052,                 4.6647,                 2.5015,                0.45323,                0.13206,                0.10312,                  0.059,                  1.138,                 4.1112,                  2.528,              0.0096356,              0.0096356,              0.0096356
                      8,                 1.1065,                 4.5969,                 2.4946,                 0.3918,                0.13709,                0.10136,                0.05939,                 1.1317,                 4.1821,                 2.5112,              0.0095748,              0.0095748,              0.0095748
                      9,                 1.0919,                 4.5313,                 2.4821,                0.31553,                0.14374,                0.10391,                0.06299,                 1.1102,                 4.0127,                 2.5518,              0.0095141,              0.0095141,              0.0095141
                     10,                 1.0802,                 4.5207,                 2.4789,                0.38596,                0.14275,                0.12151,                0.07511,                 1.0914,                 3.8121,                 2.4659,              0.0094534,              0.0094534,              0.0094534
                     11,                 1.0747,                 4.4566,                 2.4495,                0.23467,                0.16905,                0.13373,                0.08499,                 1.0885,                 3.7169,                 2.4201,              0.0093926,              0.0093926,              0.0093926
                     12,                 1.0785,                 4.4814,                 2.4621,                0.38287,                0.15831,                0.12016,                0.07482,                 1.0946,                 3.8657,                 2.4734,              0.0093319,              0.0093319,              0.0093319
                     13,                  1.066,                 4.3769,                 2.4544,                0.27818,                0.16855,                0.12311,                0.07602,                 1.0777,                 3.6976,                 2.4224,              0.0092712,              0.0092712,              0.0092712
                     14,                 1.0757,                 4.3627,                 2.4415,                0.28075,                0.17574,                0.13157,                0.08283,                  1.094,                 3.7811,                 2.4537,              0.0092104,              0.0092104,              0.0092104
                     15,                 1.0647,                 4.3267,                 2.4377,                0.26895,                0.18994,                0.14111,                0.08994,                 1.0425,                  3.572,                 2.3851,              0.0091497,              0.0091497,              0.0091497
                     16,                 1.0643,                 4.3321,                 2.4485,                0.23112,                0.14382,                0.11439,                0.06763,                 1.1346,                 3.9942,                 2.5674,               0.009089,               0.009089,               0.009089
                     17,                 1.0647,                 4.3479,                 2.4378,                0.27235,                0.17828,                0.13932,                0.08861,                  1.035,                 3.5547,                 2.3823,              0.0090282,              0.0090282,              0.0090282
                     18,                 1.0579,                 4.3336,                 2.4461,                0.25836,                0.18067,                0.14367,                0.09237,                 1.0265,                 3.5429,                 2.3539,              0.0089675,              0.0089675,              0.0089675
                     19,                 1.0588,                 4.3322,                 2.4457,                0.30446,                0.19248,                0.14304,                0.09162,                 1.0327,                 3.4752,                 2.3382,              0.0089067,              0.0089067,              0.0089067
                     20,                 1.0523,                 4.2499,                 2.4243,                0.24695,                0.17111,                0.13219,                0.08361,                 1.0461,                 3.5343,                 2.3694,               0.008846,               0.008846,               0.008846
                     21,                 1.0521,                 4.2833,                 2.4288,                 0.2331,                0.19439,                0.14008,                0.08948,                 1.0162,                 3.4675,                 2.3299,              0.0087853,              0.0087853,              0.0087853
                     22,                 1.0406,                 4.2722,                 2.4272,                 0.2821,                0.21768,                 0.1449,                0.09362,                 1.0136,                 3.4647,                  2.339,              0.0087245,              0.0087245,              0.0087245
                     23,                 1.0491,                 4.2408,                 2.4279,                0.26029,                0.18176,                0.14549,                 0.0932,                 1.0119,                 3.3947,                 2.3252,              0.0086638,              0.0086638,              0.0086638
                     24,                 1.0452,                 4.1779,                 2.4118,                0.31066,                0.19601,                0.16105,                0.10718,                 1.0038,                 3.3661,                 2.3041,              0.0086031,              0.0086031,              0.0086031
                     25,                 1.0535,                 4.2137,                   2.44,                0.28601,                0.21366,                0.15666,                0.10198,                 1.0089,                 3.2821,                 2.3077,              0.0085423,              0.0085423,              0.0085423
                     26,                  1.052,                 4.2078,                 2.4365,                0.30004,                0.23156,                0.16467,                0.10974,                0.99808,                 3.2529,                  2.304,              0.0084816,              0.0084816,              0.0084816
                     27,                 1.0424,                 4.1782,                 2.4117,                0.25548,                0.20701,                0.15741,                 0.1026,                0.98676,                 3.2533,                 2.2867,              0.0084209,              0.0084209,              0.0084209
                     28,                 1.0452,                 4.2056,                 2.4198,                0.28966,                0.23085,                0.16277,                0.10903,                0.97706,                 3.2719,                 2.2912,              0.0083601,              0.0083601,              0.0083601
                     29,                 1.0384,                 4.1826,                  2.419,                0.25031,                0.23345,                0.17503,                0.11693,                0.97976,                 3.1793,                 2.2572,              0.0082994,              0.0082994,              0.0082994
                     30,                  1.049,                 4.1425,                 2.4095,                0.30539,                0.21543,                0.16819,                0.11171,                0.97304,                  3.175,                 2.2303,              0.0082387,              0.0082387,              0.0082387
                     31,                 1.0371,                 4.1412,                 2.4063,                0.24702,                0.22701,                0.17284,                0.11776,                0.96642,                 3.1052,                 2.2427,              0.0081779,              0.0081779,              0.0081779
                     32,                 1.0331,                 4.1019,                 2.4072,                0.21634,                0.22793,                0.17424,                0.11993,                0.96471,                  3.106,                 2.2528,              0.0081172,              0.0081172,              0.0081172
                     33,                 1.0394,                 4.0765,                 2.3953,                0.20604,                0.22379,                0.16951,                0.11544,                0.96132,                 3.1273,                 2.2294,              0.0080564,              0.0080564,              0.0080564
                     34,                 1.0378,                 4.1041,                 2.4081,                0.24748,                0.24841,                0.17999,                0.12502,                0.95865,                 3.0244,                 2.2351,              0.0079957,              0.0079957,              0.0079957
                     35,                 1.0286,                 4.0686,                 2.3951,                0.21893,                0.24508,                0.18709,                0.13015,                0.94446,                 3.0282,                 2.2133,               0.007935,               0.007935,               0.007935
                     36,                 1.0319,                  4.106,                 2.3938,                0.34981,                0.25544,                0.19085,                0.13168,                0.94609,                 3.0147,                 2.2156,              0.0078742,              0.0078742,              0.0078742
                     37,                 1.0293,                 4.0815,                 2.3876,                0.30441,                0.24493,                0.18709,                0.12835,                0.95161,                 3.0157,                 2.2004,              0.0078135,              0.0078135,              0.0078135
