                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7541,                 1.8525,                 1.3592,                 0.7126,                0.76487,                0.80152,                0.43439,                 1.3959,                 4.5522,                 1.1841,               0.070044,              0.0033284,              0.0033284
                      2,                 1.6955,                 1.3095,                 1.3516,                0.70033,                0.76605,                0.81676,                0.41745,                 1.4788,                 5.3409,                 1.2183,                0.04001,               0.006627,               0.006627
                      3,                 1.7569,                 1.4187,                 1.4009,                0.31998,                0.45652,                0.35985,                0.16575,                 1.7495,                 3.4206,                 1.3989,              0.0099403,              0.0098909,              0.0098909
                      4,                  1.771,                 1.4345,                 1.4169,                 0.7678,                0.74325,                0.79654,                0.40973,                 1.4374,                 3.6918,                  1.224,              0.0098437,              0.0098437,              0.0098437
                      5,                 1.7191,                 1.3397,                  1.391,                0.79046,                0.74452,                0.80826,                0.40991,                 1.4087,                 4.6526,                 1.2298,              0.0097916,              0.0097916,              0.0097916
                      6,                 1.6686,                 1.2761,                   1.36,                0.81756,                0.82293,                0.86485,                0.46999,                 1.3714,                 2.3418,                 1.1839,              0.0097395,              0.0097395,              0.0097395
                      7,                  1.625,                 1.2057,                 1.3299,                0.77681,                0.78224,                0.83937,                0.45541,                 1.3448,                 3.1261,                 1.1741,              0.0096874,              0.0096874,              0.0096874
                      8,                 1.6009,                 1.1806,                 1.3213,                0.85846,                0.84432,                  0.898,                0.49734,                  1.354,                 1.9123,                 1.1831,              0.0096353,              0.0096353,              0.0096353
                      9,                 1.5777,                 1.1373,                 1.3055,                0.83051,                 0.8615,                0.89966,                0.52218,                  1.336,                  4.517,                 1.1655,              0.0095832,              0.0095832,              0.0095832
                     10,                 1.5667,                 1.1133,                 1.3031,                0.84484,                0.86798,                0.92292,                0.51158,                 1.3317,                 2.4297,                 1.1708,              0.0095311,              0.0095311,              0.0095311
                     11,                 1.5369,                 1.0883,                 1.2825,                 0.8333,                0.86292,                0.91319,                0.52244,                 1.3075,                  1.973,                 1.1417,              0.0094789,              0.0094789,              0.0094789
                     12,                 1.5182,                 1.0564,                 1.2761,                0.87503,                  0.857,                0.89706,                0.51335,                  1.292,                 2.3579,                 1.1348,              0.0094268,              0.0094268,              0.0094268
                     13,                 1.5154,                 1.0495,                 1.2655,                  0.886,                0.87732,                 0.9272,                0.56169,                 1.2579,                 2.2634,                 1.1188,              0.0093747,              0.0093747,              0.0093747
                     14,                 1.4926,                 1.0326,                 1.2642,                0.87498,                0.88961,                0.93365,                0.55534,                  1.249,                 2.0787,                 1.1189,              0.0093226,              0.0093226,              0.0093226
                     15,                 1.4882,                 1.0139,                 1.2533,                0.88445,                0.87937,                0.92931,                0.55189,                 1.2526,                 2.5712,                 1.1059,              0.0092705,              0.0092705,              0.0092705
                     16,                 1.4789,                 1.0048,                 1.2466,                0.88468,                0.89125,                0.91256,                0.55199,                  1.254,                 2.3965,                 1.1089,              0.0092184,              0.0092184,              0.0092184
                     17,                 1.4591,                0.98534,                 1.2375,                 0.8857,                0.89386,                0.93819,                0.55349,                 1.2428,                 2.0467,                 1.0978,              0.0091663,              0.0091663,              0.0091663
                     18,                 1.4423,                0.97205,                 1.2322,                0.91044,                0.90436,                 0.9412,                0.58577,                 1.2009,                 1.8229,                 1.0788,              0.0091142,              0.0091142,              0.0091142
                     19,                 1.4308,                0.96745,                 1.2253,                0.88937,                0.88144,                0.92774,                0.56881,                 1.2194,                 2.2843,                 1.0801,              0.0090621,              0.0090621,              0.0090621
                     20,                 1.4226,                0.93949,                 1.2139,                0.90568,                 0.9097,                  0.952,                0.58796,                 1.1949,                 2.0747,                 1.0732,                0.00901,                0.00901,                0.00901
                     21,                 1.4274,                0.95283,                 1.2143,                0.91509,                0.91529,                0.94705,                0.59787,                  1.175,                 2.1829,                 1.0671,              0.0089579,              0.0089579,              0.0089579
                     22,                 1.4105,                0.94218,                 1.2115,                0.91608,                0.90772,                0.94742,                0.60601,                 1.1952,                 1.9084,                 1.0631,              0.0089058,              0.0089058,              0.0089058
                     23,                 1.4021,                0.91988,                 1.2048,                 0.9248,                0.91968,                0.95629,                0.60421,                 1.1816,                 2.0201,                 1.0563,              0.0088537,              0.0088537,              0.0088537
